,c_Pnome_jogador,c_Unome_jogador,n_camisa,d_data_nascimento,c_posicao,c_nome_time
1998,Weverton,Silva,12.0,1998-08-11,Goleiro,Athletico-Pr
1999,Wallace,Santos,18.0,1997-09-05,Zagueiro,Cruzeiro
2000,Cleberson,Souza,4.0,1999-03-17,Zagueiro,Athletico-Pr
2001,Natanael,Pimenta,6.0,1992-10-17,Zagueiro,Athletico-Pr
2002,Matheus,Macedo,21.0,1998-02-06,Zagueiro,Botafogo-Rj
2003,Uelliton,Vieira,8.0,1997-02-10,Meio-Campo,Bahia
2004,Henrique,Dourado,27.0,1997-02-19,Atacante,Palmeiras
2005,Juninho,,6.0,1987-10-23,Zagueiro,Palmeiras
2006,Andre,Santos,27.0,1989-05-06,Zagueiro,Flamengo
2007,Nirley,Fonseca,88.0,1997-09-03,Zagueiro,Figueirense
2008,Rivaldo,Souza,7.0,1996-08-10,Zagueiro,Figueirense
2009,Romarinho,,31.0,1994-03-01,Atacante,Corinthians
2010,Neuton,,13.0,2000-04-30,Zagueiro,Chapecoense
2011,Guilherme,Torres,19.0,1990-11-23,Meio-Campo,Corinthians
2012,Andre,Motta,4.0,1994-08-18,Zagueiro,Chapecoense
2013,Ananias,Monteiro,27.0,1993-08-20,Atacante,Sport
2014,Edilson,Guimaraes,33.0,1997-01-10,Zagueiro,Botafogo-Rj
2015,Marcelo,Lomba,1.0,1986-12-18,Goleiro,Bahia
2016,Anderson,Talisca,8.0,1995-07-27,Atacante,Bahia
2017,Gabriel,Franco,15.0,1991-06-11,Meio-Campo,Botafogo-Rj
2018,Alex,Meschini,12.0,1997-12-04,Meio-Campo,Internacional
2019,Deivid,Silva,5.0,1998-11-01,Meio-Campo,Athletico-Pr
2020,Willian,Souza,5.0,1993-07-20,Meio-Campo,Goias
2021,Lucimar,Ferreira,3.0,1999-08-06,Zagueiro,Palmeiras
2022,Fabio,Szymonek,47.0,1990-05-11,Goleiro,Palmeiras
2023,Alex,Cardoso,15.0,1991-06-23,Zagueiro,Goias
2024,Wesley,Beltrame,11.0,1994-10-20,Meio-Campo,Palmeiras
2025,Jonatan,Gomez,29.0,1998-09-14,Meio-Campo,Csa
2026,Jordi,,12.0,1992-09-17,Goleiro,Csa
2027,Raul,,31.0,1996-07-11,Meio-Campo,Vasco
2028,Eduardo,Sasha,27.0,1992-02-24,Atacante,Santos
2029,Derlis,Gonzalez,17.0,1994-09-18,Atacante,Santos
2030,Leonardo,Lacerda,3.0,1997-06-05,Zagueiro,Cruzeiro
2031,Leandro,Donizete,8.0,1996-05-20,Meio-Campo,Atletico-Mg
2032,Jonathan,Marlone,23.0,1994-01-27,Meio-Campo,Cruzeiro
2033,Marcelo,Moreno,18.0,1998-05-12,Atacante,Cruzeiro
2034,Raul,Silva,13.0,1999-08-16,Zagueiro,Figueirense
2035,Petros,,40.0,1993-10-21,Meio-Campo,Corinthians
2036,Maicon,,18.0,1993-03-10,Meio-Campo,Sao Paulo
2037,Luis,Ricardo,27.0,1984-01-21,Zagueiro,Sao Paulo
2038,Carlos,Souza,6.0,2000-04-01,Zagueiro,Fluminense
2039,Eduardo,Rodrigues,7.0,1998-05-03,Atacante,Gremio
2040,Hernan,Barcos,9.0,1996-05-21,Atacante,Gremio
2041,Jose,Welison,14.0,1997-05-13,Meio-Campo,Vitoria
2042,Leonardo,Silva,19.0,1996-05-20,Atacante,Sport
2043,Luis,Grando,25.0,1998-03-30,Meio-Campo,Coritiba
2044,Luan,Niedzielski,21.0,1995-10-05,Meio-Campo,Figueirense
2045,Hyoran,,28.0,1993-05-25,Meio-Campo,Palmeiras
2046,Jadson,,10.0,1993-08-30,Meio-Campo,Corinthians
2047,Cleber,Reis,3.0,1992-02-03,Zagueiro,Corinthians
2048,Marcos,Lopes,2.0,1998-06-17,Zagueiro,Gremio
2049,Elivelton,,14.0,2000-01-14,Zagueiro,Fluminense
2050,Dagoberto,Pelentier,11.0,1994-03-31,Atacante,Cruzeiro
2051,Everton,Ribeiro,17.0,1989-04-10,Meio-Campo,Cruzeiro
2052,Thiago,Ribeiro,26.0,1999-09-02,Atacante,Santos
2053,Rafael,Moura,11.0,1995-09-18,Atacante,Internacional
2054,Fabiano,,2.0,1990-02-17,Zagueiro,Chapecoense
2055,Marcos,Guilherme,22.0,1995-08-05,Meio-Campo,Athletico-Pr
2056,Everton,Santos,86.0,1997-04-07,Atacante,Figueirense
2057,Leandro,Silva,2.0,1988-09-22,Zagueiro,Figueirense
2058,Wellington,Paulista,9.0,1983-04-22,Atacante,Internacional
2059,Wellington,Martins,41.0,2000-07-01,Meio-Campo,Internacional
2060,Marcos,Lima,3.0,1997-02-14,Zagueiro,Internacional
2061,Dida,,1.0,1984-02-03,Goleiro,Internacional
2062,Alexsandro,Souza,10.0,1998-04-24,Meio-Campo,Coritiba
2063,Andres,Goncalves,5.0,1993-06-08,Meio-Campo,Coritiba
2064,Alecsandro,,9.0,1997-06-10,Atacante,Flamengo
2065,Everton,Silva,22.0,1988-08-04,Meio-Campo,Flamengo
2066,Emerson,Conceicao,19.0,1995-02-13,Zagueiro,Atletico-Mg
2067,David,Braz,14.0,1987-05-21,Zagueiro,Santos
2068,Paulo,Miranda,13.0,1988-08-16,Zagueiro,Sao Paulo
2069,Otavio,,33.0,1994-05-04,Meio-Campo,Internacional
2070,Michel,Santos,5.0,2000-07-05,Meio-Campo,Gremio
2071,Guilherme,Camacho,15.0,1996-07-14,Meio-Campo,Athletico-Pr
2072,Diego,Tardelli,9.0,1998-02-07,Atacante,Gremio
2073,Gabriel,Franca,2.0,1999-05-22,Zagueiro,Botafogo-Rj
2074,Lucas,Oliveira,5.0,1996-02-02,Meio-Campo,Atletico-Mg
2075,Wendel,Santos,13.0,1995-04-14,Zagueiro,Palmeiras
2076,Marcos,Barbosa,3.0,1993-09-17,Zagueiro,Figueirense
2077,William,Matheus,16.0,1990-04-02,Zagueiro,Palmeiras
2078,David,Silva,8.0,1998-03-28,Meio-Campo,Goias
2079,Gabriel,Barbosa,10.0,1996-08-30,Atacante,Santos
2080,Sueliton,Pereira,2.0,1995-03-08,Zagueiro,Athletico-Pr
2081,Otavio,Santos,7.0,1998-07-15,Meio-Campo,Athletico-Pr
2082,Bruno,Corsini,25.0,1999-09-23,Meio-Campo,Corinthians
2083,Durval,,4.0,1997-05-19,Zagueiro,Sport
2084,Paulo,Ganso,10.0,1994-05-13,Meio-Campo,Sao Paulo
2085,Josef,Dias,8.0,1994-08-19,Meio-Campo,Sao Paulo
2086,Douglas,Santos,23.0,1998-12-13,Zagueiro,Sao Paulo
2087,Marion,Fernandes,22.0,1996-07-04,Atacante,Atletico-Mg
2088,Ricardo,Goulart,28.0,1991-06-05,Meio-Campo,Cruzeiro
2089,Samir,,4.0,1991-07-20,Zagueiro,Flamengo
2090,Luiz,Soares,15.0,1992-11-16,Meio-Campo,Flamengo
2091,Jubal,Junior,36.0,1997-11-26,Zagueiro,Santos
2092,Geuvanio,,11.0,1992-04-05,Atacante,Santos
2093,Welinton,,4.0,1991-08-17,Zagueiro,Coritiba
2094,Julio,Souza,11.0,1992-01-05,Atacante,Coritiba
2095,Nenem,,10.0,1986-09-20,Meio-Campo,Chapecoense
2096,Mario,Bolatti,23.0,1991-03-16,Meio-Campo,Botafogo-Rj
2097,Bruno,Pacheco,6.0,1991-12-08,Zagueiro,Chapecoense
2098,Leo,Sena,20.0,1998-03-31,Meio-Campo,Goias
2099,Martin,Sarrafiore,29.0,1997-07-20,Meio-Campo,Internacional
2100,Alan,Ruschel,28.0,1989-08-23,Zagueiro,Goias
2101,Jaja,Coelho,50.0,1992-07-12,Meio-Campo,Coritiba
2102,Dener,Braz,6.0,1999-06-09,Zagueiro,Coritiba
2103,Rene,Martins,6.0,1999-08-05,Zagueiro,Sport
2104,Jesus,Datolo,10.0,1992-08-06,Meio-Campo,Atletico-Mg
2105,Edcarlos,,15.0,1990-11-21,Zagueiro,Atletico-Mg
2106,Wanderson,,5.0,1994-10-07,Meio-Campo,Chapecoense
2107,Diones,,16.0,1985-06-21,Meio-Campo,Chapecoense
2108,Guilherme,Santos,6.0,1988-02-05,Zagueiro,Bahia
2109,Osvaldo,Filho,17.0,1999-04-13,Atacante,Sao Paulo
2110,Francisco,Santos,13.0,1996-06-12,Meio-Campo,Fluminense
2111,Gum,,3.0,1986-01-04,Zagueiro,Fluminense
2112,Matheus,Teixeira,8.0,1999-03-08,Meio-Campo,Avai
2113,Hiago,,35.0,1997-11-04,Zagueiro,Chapecoense
2114,Erico,Junior,18.0,1993-07-22,Atacante,Sport
2115,Vanderlei,Silva,1.0,1994-09-18,Goleiro,Coritiba
2116,Reginaldo,,22.0,2001-08-17,Zagueiro,Coritiba
2117,Germano,Schweger,48.0,1997-05-29,Meio-Campo,Coritiba
2118,Rafael,Miranda,55.0,1990-12-03,Meio-Campo,Bahia
2119,Marquinhos,,40.0,1994-05-08,Meio-Campo,Palmeiras
2120,Euller,,16.0,2002-04-26,Meio-Campo,Vitoria
2121,Claudio,Winck,39.0,1998-09-02,Zagueiro,Internacional
2122,Diguinho,,8.0,2001-05-26,Meio-Campo,Fluminense
2123,Bruno,Vieira,2.0,2000-02-25,Zagueiro,Fluminense
2124,Aranha,,12.0,1995-07-31,Goleiro,Santos
2125,Joao,Paulo,5.0,1995-06-29,Meio-Campo,Botafogo-Rj
2126,Joao,Santos,23.0,1999-06-02,Zagueiro,Bahia
2127,Alejandro,Guerra,18.0,1992-09-15,Meio-Campo,Bahia
2128,Thiago,Santos,5.0,1989-09-05,Meio-Campo,Palmeiras
2129,Thonny,Anderson,38.0,1997-12-27,Meio-Campo,Athletico-Pr
2130,Geuvanio,,49.0,1992-04-05,Atacante,Atletico-Mg
2131,Braian,Romero,17.0,1991-06-15,Atacante,Athletico-Pr
2132,Jose,Welison,14.0,1995-02-09,Meio-Campo,Atletico-Mg
2133,Rithely,,21.0,1991-01-27,Meio-Campo,Sport
2134,Douglas,Coutinho,77.0,1994-02-08,Atacante,Athletico-Pr
2135,Dener,Pinheiro,55.0,1993-01-14,Meio-Campo,Figueirense
2136,Ramon,Freitas,20.0,1999-01-19,Meio-Campo,Goias
2137,Luan,Vieira,7.0,1998-10-17,Meio-Campo,Gremio
2138,Valmir,Lucas,13.0,1991-12-22,Zagueiro,Goias
2139,Magrao,,1.0,1996-04-21,Goleiro,Sport
2140,Rodrigo,Caio,3.0,1993-08-17,Zagueiro,Sao Paulo
2141,Leo,Gago,36.0,1991-04-03,Meio-Campo,Bahia
2142,Lucas,Olaza,6.0,1992-12-20,Zagueiro,Athletico-Pr
2143,Wellington,Silva,15.0,1988-03-06,Zagueiro,Internacional
2144,Paulo,Ribeiro,25.0,1999-01-16,Zagueiro,Internacional
2145,Elias,Trindade,7.0,1998-11-03,Meio-Campo,Corinthians
2146,Wellington,Pinto,34.0,1995-01-17,Zagueiro,Palmeiras
2147,Rafael,Sobis,23.0,1995-02-26,Atacante,Fluminense
2148,Robson,Signorini,19.0,1994-09-21,Meio-Campo,Cruzeiro
2149,Vinicius,Araujo,30.0,1994-05-07,Atacante,Avai
2150,Pedro,Neves,32.0,2000-02-09,Atacante,Cruzeiro
2151,Igor,Araujo,23.0,1992-02-05,Zagueiro,Avai
2152,Thiago,Neves,10.0,1992-08-05,Meio-Campo,Cruzeiro
2153,Danilo,Barcelos,14.0,1991-08-17,Zagueiro,Vasco
2154,Warley,,13.0,1999-09-17,Meio-Campo,Csa
2155,Guilherme,Gusmao,17.0,1996-06-20,Meio-Campo,Atletico-Mg
2156,Saimon,Tormen,20.0,1997-03-24,Zagueiro,Gremio
2157,Marcelo,Grohe,1.0,1992-12-14,Goleiro,Gremio
2158,Rodrigo,Biro,6.0,1991-03-23,Zagueiro,Chapecoense
2159,Anderson,Cardoso,3.0,1998-02-05,Zagueiro,Flamengo
2160,Fabio,Maciel,1.0,1996-08-20,Goleiro,Cruzeiro
2161,Marcos,Rocha,2.0,1988-12-11,Zagueiro,Atletico-Mg
2162,Marco,Filho,8.0,1996-04-26,Meio-Campo,Figueirense
2163,Cicero,Santos,7.0,1994-12-12,Meio-Campo,Fluminense
2164,Henrique,Souza,21.0,1992-08-26,Zagueiro,Fluminense
2165,Wendel,Silva,17.0,1992-02-04,Meio-Campo,Sport
2166,Norberto,Neto,40.0,1998-07-01,Zagueiro,Coritiba
2167,Kieza,,9.0,1986-09-24,Atacante,Bahia
2168,Leandro,,38.0,2004-11-14,Atacante,Palmeiras
2169,Eugenio,Mena,16.0,1993-09-25,Zagueiro,Santos
2170,Jailton,,14.0,1997-11-28,Zagueiro,Chapecoense
2171,Luiz,Oliveira,15.0,1992-01-25,Meio-Campo,Flamengo
2172,Abuda,,22.0,1989-01-22,Meio-Campo,Chapecoense
2173,Cleverson,Cordova,9.0,1991-07-25,Atacante,Athletico-Pr
2174,Fabricio,Silva,14.0,1991-04-29,Zagueiro,Internacional
2175,Marrony,,38.0,1999-02-05,Atacante,Vasco
2176,Edwin,Valencia,17.0,1992-01-25,Meio-Campo,Fluminense
2177,Jean,Moreira,7.0,2000-01-22,Meio-Campo,Fluminense
2178,Fellipe,Bastos,6.0,1990-02-01,Meio-Campo,Gremio
2179,Kaka,,8.0,2002-01-16,Meio-Campo,Sao Paulo
2180,Denilson,Neves,15.0,1992-04-02,Meio-Campo,Sao Paulo
2181,Zezinho,,25.0,1999-05-22,Meio-Campo,Chapecoense
2182,Josue,Oliveira,28.0,1993-09-24,Meio-Campo,Atletico-Mg
2183,Caio,Paulista,70.0,1998-05-11,Meio-Campo,Avai
2184,Luanderson,Silva,16.0,1990-11-11,Meio-Campo,Avai
2185,Yuri,Silva,31.0,1995-10-03,Zagueiro,Botafogo-Rj
2186,Lucas,Campos,21.0,1996-05-16,Atacante,Botafogo-Rj
2187,Fernando,Kaufmann,1.0,1998-01-15,Goleiro,Vasco
2188,Dawhan,,8.0,1994-08-16,Zagueiro,Csa
2189,Marcelo,Silva,13.0,1997-09-28,Zagueiro,Flamengo
2190,Matias,Rodriguez,18.0,1996-07-09,Zagueiro,Gremio
2191,Raul,Rocha,16.0,1991-11-13,Zagueiro,Bahia
2192,Luis,Ramirez,14.0,1995-01-31,Meio-Campo,Botafogo-Rj
2193,Edson,Silva,21.0,1986-05-09,Zagueiro,Sao Paulo
2194,Rafael,Toloi,2.0,1991-10-07,Zagueiro,Sao Paulo
2195,Mayke,,22.0,1992-11-10,Zagueiro,Cruzeiro
2196,Pedro,Botelho,16.0,1989-12-14,Zagueiro,Atletico-Mg
2197,Jean,Carlos,77.0,1992-02-15,Atacante,Figueirense
2198,Clayton,Silva,7.0,1991-04-29,Atacante,Figueirense
2199,Mauricio,Victorino,28.0,1999-10-05,Zagueiro,Palmeiras
2200,Regis,,10.0,1992-11-30,Meio-Campo,Sport
2201,Felipe,Azevedo,11.0,1987-01-10,Atacante,Sport
2202,Joao,Silva,8.0,1995-01-17,Meio-Campo,Athletico-Pr
2203,Everaldo,Stum,77.0,1995-12-26,Atacante,Chapecoense
2204,Patrick,,30.0,1992-07-29,Meio-Campo,Gremio
2205,Rafael,Pereira,5.0,1984-11-18,Meio-Campo,Atletico-Mg
2206,Joao,Costa,16.0,2005-03-01,Zagueiro,Flamengo
2207,Ze,Roberto,10.0,1993-09-14,Zagueiro,Gremio
2208,Dede,,26.0,1987-05-31,Zagueiro,Cruzeiro
2209,Hudson,,25.0,1986-07-18,Meio-Campo,Sao Paulo
2210,Fabian,Guedes,4.0,1994-07-23,Zagueiro,Botafogo-Rj
2211,Diego,Tardelli,9.0,1997-03-18,Atacante,Atletico-Mg
2212,Gilberto,Junior,2.0,1999-11-11,Zagueiro,Fluminense
2213,Antony,Santos,39.0,1992-09-29,Meio-Campo,Sao Paulo
2214,Jorge,Moraes,3.0,1999-02-01,Zagueiro,Santos
2215,Gilberto,Junior,29.0,1995-10-13,Meio-Campo,Goias
2216,Bruno,Souza,23.0,1996-08-01,Atacante,Csa
2217,Luiz,Gaioto,44.0,1994-07-25,Zagueiro,Gremio
2218,Anderson,Martins,23.0,1992-06-02,Zagueiro,Corinthians
2219,Ceara,,2.0,1987-08-17,Zagueiro,Cruzeiro
2220,Leo,Veloso,14.0,1999-09-29,Zagueiro,Goias
2221,Maxi,Biancucchi,7.0,1997-03-12,Atacante,Bahia
2222,Danilo,Barcelos,14.0,1991-08-17,Meio-Campo,Sport
2223,Ednei,,15.0,1990-07-05,Zagueiro,Chapecoense
2224,Jean,Irmer,15.0,1994-09-26,Meio-Campo,Botafogo-Rj
2225,Pablo,Villar,4.0,1999-02-16,Zagueiro,Flamengo
2226,Alexandre,Pato,7.0,1991-12-09,Atacante,Sao Paulo
2227,Edu,Dracena,2.0,2000-03-22,Zagueiro,Santos
2228,Luiz,Figueiredo,37.0,1999-12-04,Meio-Campo,Coritiba
2229,Ademilson,,19.0,1991-06-17,Atacante,Sao Paulo
2230,Michel,Bastos,7.0,1998-10-26,Zagueiro,Sao Paulo
2231,Nino,Paraiba,2.0,1986-01-10,Zagueiro,Vitoria
2232,Luiz,Gustavo,15.0,1994-02-12,Zagueiro,Vitoria
2233,Walace,,5.0,2002-04-27,Meio-Campo,Gremio
2234,Bergson,Silva,77.0,1995-04-14,Atacante,Ceara
2235,Pedro,Ken,88.0,1991-03-25,Meio-Campo,Ceara
2236,Jose,Junior,19.0,1995-10-29,Meio-Campo,Chapecoense
2237,Roberto,Heuchayer,90.0,1999-04-26,Meio-Campo,Chapecoense
2238,Oswaldo,Bocanegra,3.0,1999-09-19,Zagueiro,Vasco
2239,Bruno,Cesar,10.0,1998-04-11,Meio-Campo,Vasco
2240,Luan,Paiva,27.0,1990-10-27,Atacante,Atletico-Mg
2241,Luis,Nascimento,22.0,1998-08-07,Zagueiro,Criciuma
2242,Felipe,Monteiro,28.0,1994-08-03,Zagueiro,Corinthians
2243,Guilherme,Dellatorre,11.0,1991-02-01,Atacante,Athletico-Pr
2244,Geirton,Aires,20.0,1990-08-07,Meio-Campo,Avai
2245,Jorge,Henrique,23.0,1982-04-23,Atacante,Internacional
2246,Diogo,Santo,17.0,1991-03-24,Atacante,Palmeiras
2247,Alejandro,Martinuccio,11.0,1994-03-18,Atacante,Coritiba
2248,Ibson,Silva,80.0,1996-12-13,Meio-Campo,Sport
2249,Junior,Urso,11.0,1991-12-15,Meio-Campo,Corinthians
2250,Marco,Ruben,9.0,1996-02-23,Atacante,Athletico-Pr
2251,Luiz,Alves,99.0,1998-10-30,Atacante,Cruzeiro
2252,Pedro,Castro,7.0,1993-02-05,Meio-Campo,Avai
2253,Luis,Orejuela,28.0,1995-08-20,Zagueiro,Cruzeiro
2254,Sebastian,Eguren,5.0,2000-03-09,Meio-Campo,Palmeiras
2255,Alan,Ruschel,16.0,1989-08-23,Zagueiro,Internacional
2256,Marcio,Araujo,8.0,1984-06-11,Meio-Campo,Flamengo
2257,Giovanni,Augusto,10.0,1989-09-05,Meio-Campo,Figueirense
2258,Leandro,Damiao,9.0,1999-04-03,Atacante,Santos
2259,Willian,Rocha,36.0,1989-04-01,Zagueiro,Athletico-Pr
2260,Alan,Kardec,14.0,1989-01-12,Atacante,Sao Paulo
2261,Jose,Filho,9.0,1998-10-10,Atacante,Criciuma
2262,Gilberto,Junior,2.0,1992-11-20,Zagueiro,Internacional
2263,Alisson,Castro,11.0,1992-04-29,Meio-Campo,Cruzeiro
2264,Regis,,20.0,1992-11-30,Meio-Campo,Corinthians
2265,Ricardo,Bueno,9.0,1987-08-15,Atacante,Csa
2266,Luciano,Castan,4.0,1989-09-13,Zagueiro,Csa
2267,Bruno,Guimaraes,39.0,2002-06-08,Meio-Campo,Athletico-Pr
2268,Rosinei,,88.0,1991-07-21,Meio-Campo,Coritiba
2269,Julio,Junior,26.0,1997-10-29,Zagueiro,Botafogo-Rj
2270,Jo,,7.0,1987-03-20,Atacante,Atletico-Mg
2271,Marcio,Oliveira,10.0,1995-03-06,Meio-Campo,Vitoria
2272,Carlos,Junior,13.0,1997-05-13,Atacante,Atletico-Mg
2273,Jefferson,Galvao,1.0,1995-05-02,Goleiro,Botafogo-Rj
2274,Marcio,Araujo,8.0,1984-06-11,Meio-Campo,Chapecoense
2275,Franco,Santo,26.0,1995-04-16,Atacante,Atletico-Mg
2276,Malcom,Oliveira,21.0,1994-07-15,Atacante,Corinthians
2277,Leandro,,29.0,2004-11-14,Atacante,Chapecoense
2278,Fabricio,Bruno,25.0,1996-02-12,Zagueiro,Cruzeiro
2279,Jose,Ribeiro,18.0,2000-06-07,Zagueiro,Cruzeiro
2280,Cesar,Dutra,37.0,1999-07-25,Goleiro,Flamengo
2281,Franca,,91.0,1999-11-16,Meio-Campo,Figueirense
2282,Diego,Souza,87.0,1985-06-17,Meio-Campo,Sport
2283,Gustavo,Schiavolin,3.0,1992-03-10,Zagueiro,Athletico-Pr
2284,Nathan,Cardoso,4.0,1996-11-02,Zagueiro,Palmeiras
2285,Rafael,Elias,99.0,1999-07-29,Atacante,Goias
2286,Fabio,Alves,11.0,1988-03-29,Atacante,Chapecoense
2287,Douglas,Santos,6.0,1998-12-13,Zagueiro,Atletico-Mg
2288,Jonathan,,39.0,1999-04-28,Atacante,Avai
2289,Eduardo,Kunde,63.0,2000-05-30,Zagueiro,Avai
2290,Julio,Catole,26.0,1990-08-25,Zagueiro,Avai
2291,Bruno,Savio,18.0,1997-12-04,Atacante,Avai
2292,Matheus,Jacomo,33.0,1999-04-26,Zagueiro,Botafogo-Rj
2293,Willian,Cordeiro,20.0,1997-12-19,Zagueiro,Figueirense
2294,Paulo,Vidotti,48.0,1999-07-02,Goleiro,Flamengo
2295,Yuri,Mamute,18.0,1995-05-07,Atacante,Botafogo-Rj
2296,Marcos,Goncalves,30.0,1995-05-27,Atacante,Cruzeiro
2297,Juan,Cazares,10.0,1999-04-08,Meio-Campo,Atletico-Mg
2298,Joao,Heidemann,1.0,1994-01-24,Goleiro,Csa
2299,Ebert,Amancio,3.0,1999-05-12,Zagueiro,Avai
2300,Ricardo,Thalheimer,14.0,1992-12-29,Zagueiro,Avai
2301,Marquinhos,Pedroso,6.0,1999-09-14,Zagueiro,Figueirense
2302,Felipe,Macedo,13.0,1994-03-27,Zagueiro,Goias
2303,Edson,Cruz,8.0,1994-05-31,Meio-Campo,Fluminense
2304,Diego,Cavalieri,12.0,1992-04-03,Goleiro,Fluminense
2305,Carlos,Oliveira,2.0,1993-07-25,Zagueiro,Chapecoense
2306,Ernando,Lopes,14.0,1997-09-17,Zagueiro,Internacional
2307,Sergio,Santos,35.0,1991-07-18,Meio-Campo,Coritiba
2308,Jefferson,Nogueira,15.0,1997-12-08,Zagueiro,Figueirense
2309,Marcos,Santana,9.0,1998-05-27,Atacante,Figueirense
2310,Manoel,Carvalho,27.0,1997-06-19,Zagueiro,Cruzeiro
2311,Robinho,,7.0,1987-11-10,Atacante,Santos
2312,Joao,Santos,22.0,1991-01-30,Zagueiro,Palmeiras
2313,Bernardo,Souza,31.0,1998-06-20,Meio-Campo,Palmeiras
2314,Cristian,Riveros,16.0,1996-07-19,Meio-Campo,Gremio
2315,Rildo,Felicissimo,31.0,2000-05-05,Atacante,Santos
2316,Guilherme,Mattis,20.0,1990-09-12,Zagueiro,Fluminense
2317,Auremir,Santos,18.0,1997-10-24,Meio-Campo,Ceara
2318,Mauro,Boselli,17.0,1998-07-12,Atacante,Corinthians
2319,Jadson,,27.0,1993-08-30,Meio-Campo,Cruzeiro
2320,Luciano,Neves,18.0,1991-10-19,Atacante,Corinthians
2321,Bruno,Uvini,44.0,1992-02-25,Zagueiro,Santos
2322,Leonardo,Morais,21.0,1997-03-30,Zagueiro,Flamengo
2323,Andre,Bahia,19.0,1986-05-26,Zagueiro,Botafogo-Rj
2324,Alan,Costa,26.0,1991-10-16,Zagueiro,Internacional
2325,Alisson,Becker,22.0,1990-08-13,Goleiro,Internacional
2326,Carlos,Souza,6.0,1994-08-07,Zagueiro,Csa
2327,Rickson,,27.0,1998-03-04,Meio-Campo,Botafogo-Rj
2328,Felipe,Silva,10.0,1992-05-29,Meio-Campo,Ceara
2329,Kevin,Silva,2.0,1994-03-23,Zagueiro,Goias
2330,Geovane,,5.0,1989-02-20,Meio-Campo,Goias
2331,Rodrigo,Souto,17.0,1991-12-16,Zagueiro,Botafogo-Rj
2332,Ewerton,Pascoa,3.0,1989-03-14,Zagueiro,Sport
2333,Rafael,Santos,33.0,1989-03-14,Zagueiro,Chapecoense
2334,Caio,Henrique,19.0,1994-05-29,Zagueiro,Fluminense
2335,Frazan,,13.0,1996-06-05,Zagueiro,Fluminense
2336,Lucas,Silva,12.0,1993-02-16,Atacante,Fluminense
2337,Elias,Trindade,7.0,1996-01-29,Meio-Campo,Atletico-Mg
2338,Bruno,Rodrigo,4.0,1997-03-05,Zagueiro,Cruzeiro
2339,Ygor,Santiago,21.0,1999-02-06,Meio-Campo,Internacional
2340,Rogerio,Ceni,1.0,2000-02-05,Goleiro,Sao Paulo
2341,Victor,Ferraz,4.0,1988-01-14,Zagueiro,Santos
2342,Brenner,Oliveira,9.0,1992-01-31,Atacante,Avai
2343,Bruno,Silva,21.0,1986-08-03,Meio-Campo,Internacional
2344,Vagner,Love,9.0,1984-06-11,Atacante,Corinthians
2345,Rafael,Galhardo,42.0,1994-09-04,Zagueiro,Gremio
2346,Railan,Reis,27.0,1994-04-19,Zagueiro,Bahia
2347,Matheus,Bertotto,32.0,1999-06-26,Meio-Campo,Internacional
2348,Felipe,Silva,90.0,1997-12-31,Meio-Campo,Figueirense
2349,Joelinton,Lira,9.0,1997-12-18,Atacante,Sport
2350,Souza,,9.0,1988-03-08,Atacante,Criciuma
2351,Andre,Souza,90.0,1992-01-11,Atacante,Gremio
2352,Jose,Neto,37.0,2000-06-04,Zagueiro,Internacional
2353,Roberto,,40.0,1990-12-04,Zagueiro,Internacional
2354,Willian,Farias,15.0,1989-06-06,Meio-Campo,Cruzeiro
2355,Fabricio,Dornellas,27.0,1991-04-05,Zagueiro,Fluminense
2356,Mike,Nenatarvicius,20.0,1999-10-07,Atacante,Sport
2357,Jobson,Oliveira,10.0,1994-05-30,Atacante,Botafogo-Rj
2358,Junior,Sornoza,7.0,1999-10-16,Meio-Campo,Corinthians
2359,Tiepo,,98.0,1998-02-08,Goleiro,Chapecoense
2360,Gum,,3.0,1986-01-04,Zagueiro,Chapecoense
2361,David,Fonseca,11.0,1997-03-07,Meio-Campo,Cruzeiro
2362,Nene,Bonilha,27.0,1992-02-17,Meio-Campo,Fortaleza
2363,Reinier,,19.0,1992-07-14,Atacante,Flamengo
2364,Leo,Moura,2.0,1991-10-23,Zagueiro,Gremio
2365,Caju,,22.0,1992-03-09,Zagueiro,Santos
2366,Rafael,Bonfim,14.0,1996-08-06,Zagueiro,Coritiba
2367,Yago,Rocha,27.0,1994-05-22,Zagueiro,Figueirense
2368,Camilo,,88.0,1999-02-23,Meio-Campo,Chapecoense
2369,Eduardo,Henrique,30.0,1996-04-15,Meio-Campo,Atletico-Mg
2370,Fabiano,Menezes,28.0,1999-07-05,Zagueiro,Botafogo-Rj
2371,Vinicius,,29.0,1993-08-03,Meio-Campo,Atletico-Mg
2372,Marinaldo,Oliveira,5.0,1999-07-08,Meio-Campo,Csa
2373,Helder,,23.0,1988-10-21,Meio-Campo,Coritiba
2374,Yuri,Mamute,9.0,1995-05-07,Atacante,Gremio
2375,Rildo,Felicissimo,7.0,1998-04-17,Atacante,Ponte Preta
2376,Josimar,,11.0,1994-01-19,Meio-Campo,Ponte Preta
2377,Tiago,Alves,3.0,1991-06-13,Zagueiro,Ponte Preta
2378,Marinaldo,Oliveira,5.0,2000-02-09,Meio-Campo,Joinville
2379,Robson,Signorini,27.0,1998-06-13,Meio-Campo,Palmeiras
